Date,Open,High,Low,Close,Adj Close,Volume
1991-02-21,26137.029297,26217.189453,25954.289063,26024.369141,26024.369141,0
1991-02-22,26059.220703,26264.560547,25902.810547,25902.810547,25902.810547,0
1991-02-25,25908.189453,26466.769531,25852.109375,26462.759766,26462.759766,0
1991-02-26,26499.759766,26709.800781,26255.460938,26282.960938,26282.960938,0
1991-02-27,26229.130859,26229.130859,25986.689453,26094.250000,26094.250000,0
1991-02-28,26176.759766,26623.669922,26176.759766,26409.220703,26409.220703,0
1991-03-01,26389.250000,26389.250000,25856.710938,25881.570313,25881.570313,0
1991-03-04,25851.910156,26028.970703,25812.570313,25976.019531,25976.019531,0
1991-03-05,25980.519531,26148.869141,25896.740234,25913.480469,25913.480469,0
1991-03-06,25981.699219,26389.939453,25981.699219,26382.990234,26382.990234,0
1991-03-07,26364.689453,26478.119141,26244.300781,26397.960938,26397.960938,0
1991-03-08,26432.320313,26607.519531,26379.470703,26607.519531,26607.519531,0
1991-03-11,26630.029297,26753.839844,26610.160156,26669.369141,26669.369141,0
1991-03-12,26643.929688,26744.539063,26605.660156,26727.419922,26727.419922,0
1991-03-13,26692.080078,26692.080078,26389.060547,26418.320313,26418.320313,0
1991-03-14,26478.320313,26591.470703,26366.449219,26542.330078,26542.330078,0
1991-03-15,26560.630859,27003.429688,26521.880859,26843.099609,26843.099609,0
1991-03-18,26916.220703,27270.330078,26916.220703,27146.910156,27146.910156,0
1991-03-19,27065.970703,27193.310547,26926.890625,27006.660156,27006.660156,0
1991-03-20,26903.099609,26903.099609,26448.570313,26449.349609,26449.349609,0
1991-03-21,null,null,null,null,null,null
1991-03-22,26513.750000,26782.720703,26513.750000,26613.189453,26613.189453,0
1991-03-25,26602.619141,26802.779297,26602.619141,26645.789063,26645.789063,0
1991-03-26,26673.640625,26708.060547,26323.400391,26339.380859,26339.380859,0
1991-03-27,26431.800781,26609.429688,26104.650391,26104.650391,26104.650391,0
1991-03-28,26026.929688,26316.300781,25785.970703,26206.919922,26206.919922,0
1991-03-29,26211.759766,26339.779297,26085.410156,26292.039063,26292.039063,0
1991-04-01,26237.789063,26237.789063,25914.289063,26007.400391,26007.400391,0
1991-04-02,25955.619141,26274.580078,25913.599609,26252.000000,26252.000000,0
1991-04-03,26322.710938,26803.429688,26322.710938,26780.060547,26780.060547,0
1991-04-04,26752.640625,26792.679688,26608.439453,26689.810547,26689.810547,0
1991-04-05,26708.060547,26787.259766,26598.189453,26767.330078,26767.330078,0
1991-04-08,26765.259766,26825.330078,26591.480469,26607.650391,26607.650391,0
1991-04-09,26559.619141,26586.740234,26317.390625,26317.390625,26317.390625,0
1991-04-10,26270.539063,26369.759766,26190.550781,26268.859375,26268.859375,0
1991-04-11,26308.410156,26444.130859,26211.070313,26425.189453,26425.189453,0
1991-04-12,26429.140625,26606.669922,26392.539063,26582.500000,26582.500000,0
1991-04-15,26620.080078,26896.140625,26620.080078,26695.529297,26695.529297,0
1991-04-16,26745.830078,26894.269531,26615.349609,26813.300781,26813.300781,0
1991-04-17,26859.349609,27092.019531,26859.349609,26980.369141,26980.369141,0
1991-04-18,26994.769531,27042.900391,26699.669922,26798.900391,26798.900391,0
1991-04-19,26753.130859,26753.130859,26516.820313,26541.970703,26541.970703,0
1991-04-22,26492.449219,26492.449219,26237.009766,26237.009766,26237.009766,0
1991-04-23,26188.970703,26568.890625,26078.310547,26491.570313,26491.570313,0
1991-04-24,26516.130859,26585.660156,26329.220703,26330.210938,26330.210938,0
1991-04-25,26316.109375,26341.849609,26037.869141,26038.859375,26038.859375,0
1991-04-26,26100.210938,26256.039063,25994.279297,26123.679688,26123.679688,0
1991-04-29,null,null,null,null,null,null
1991-04-30,26147.349609,26258.609375,26094.089844,26111.250000,26111.250000,0
1991-05-01,26193.609375,26529.839844,26193.609375,26489.000000,26489.000000,0
1991-05-02,26518.490234,26648.580078,26414.439453,26477.859375,26477.859375,0
1991-05-03,null,null,null,null,null,null
1991-05-06,null,null,null,null,null,null
1991-05-07,26500.150391,26523.619141,26326.359375,26342.140625,26342.140625,0
1991-05-08,26312.650391,26367.990234,26178.220703,26309.789063,26309.789063,0
1991-05-09,26301.310547,26470.359375,26290.359375,26438.500000,26438.500000,0
1991-05-10,26440.480469,26449.060547,26212.640625,26274.289063,26274.289063,0
1991-05-13,26215.009766,26338.490234,26092.220703,26093.199219,26093.199219,0
1991-05-14,26083.539063,26283.460938,26030.080078,26030.080078,26030.080078,0
1991-05-15,26001.679688,26001.679688,25741.689453,25822.470703,25822.470703,0
1991-05-16,25762.300781,25771.380859,25497.480469,25520.269531,25520.269531,0
1991-05-17,25582.900391,25789.130859,25582.900391,25701.939453,25701.939453,0
1991-05-20,25731.039063,25738.730469,25330.699219,25523.029297,25523.029297,0
1991-05-21,25461.189453,25556.470703,25227.640625,25481.210938,25481.210938,0
1991-05-22,25515.039063,25768.519531,25398.660156,25398.660156,25398.660156,0
1991-05-23,25466.320313,25721.269531,25350.820313,25643.650391,25643.650391,0
1991-05-24,25677.880859,25741.099609,25451.330078,25529.140625,25529.140625,0
1991-05-27,25543.740234,25638.130859,25353.490234,25425.880859,25425.880859,0
1991-05-28,25406.250000,25517.410156,25340.960938,25390.669922,25390.669922,0
1991-05-29,25456.750000,25649.769531,25456.750000,25495.410156,25495.410156,0
1991-05-30,25555.769531,25719.990234,25555.769531,25647.400391,25647.400391,0
1991-05-31,25716.740234,25901.470703,25716.740234,25789.619141,25789.619141,0
